연도,월,설화명곡,화원,대곡,진천,월배,상인,월촌,송현,서부정류장,대명,안지랑,현충로,영대병원,교대,명덕1,반월당1,중앙로,대구역,칠성시장,신천,동대구역,동구청,아양교,동촌,해안,방촌,용계,율하,신기,반야월,각산,안심,문양,다사,대실,강창,계명대,성서산업단지,이곡,용산,죽전,감삼,두류,내당,반고개,청라언덕2,반월당2,경대병원,대구은행,범어,수성구청,만촌,담티,연호,대공원,고산,신매,사월,정평,임당,영남대,칠곡경대병원,학정,팔거,동천,칠곡운암,구암,태전,매천,매천시장,팔달,공단,만평,팔달시장,원대,북구청,달성공원,서문시장,청라언덕3,남산,명덕3,건들바위,대봉교,수성시장,수성구민운동장,어린이세상,황금,수성못,지산,범물,용지
2000,07,0,0,0,101297850,56524590,132167100,68895620,59439660,154925400,40679700,45490280,38994940,57461250,42874760,61797330,83352500,327154100,45309570,56566700,69003430,135372830,54892410,62016200,18825710,40942360,47597670,24116700,25934900,61819150,34694060,6651900,47678020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,08,0,0,0,99577160,54802590,126886980,65511540,57464950,155761660,38870350,44967960,37104520,56372130,43363700,60133900,81778160,305427640,47133910,54441000,68463880,139418360,51907700,61254550,19214650,42497650,46996680,22497210,24773100,60381150,35670340,6314110,49954350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,09,0,0,0,102108990,56355400,133607690,69203880,58374430,153146530,39300160,43720970,38451820,59551180,45739080,61372590,81292100,311695960,44226620,57422640,71031760,129342200,53561040,63518660,18137020,41844240,47373380,27773460,26132600,60807260,39667650,7378600,70402260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,0,0,108499180,58615930,141540580,70732460,59978260,159989730,41480540,46169520,40431660,62123350,47217180,68205370,83473200,304442250,45768070,59074700,75900230,138302290,58945040,68877120,19146420,44519790,49756500,30830150,27366550,63605860,42152620,7574050,73126670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,11,0,0,0,106907970,56602780,135819170,70352400,61397020,154150200,41592700,45244970,40427160,63576660,46363600,68975690,79528500,316808850,45322320,58368050,74870820,134509150,56087000,67363450,18735290,43339120,49862110,31174400,27764750,63418570,40840030,6834140,73515530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,12,0,0,0,114763620,60227870,167893140,73526740,63997650,169120180,43883450,48835990,42493500,62419950,46054100,66274720,79526310,371773600,49942220,60088920,76000860,155323800,58682250,67534150,19965850,44689230,51284400,32558350,26578300,63904750,39547850,7310450,66307150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,01,0,0,0,108029560,55369680,141394510,66756490,59141960,159230340,41024490,46408560,41167000,59219760,40754250,57466450,75280410,361928460,48471500,53317100,66854000,147681160,53136200,61510700,17398050,40624870,47176000,29269300,24392100,58617550,35358750,5945100,48609500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,02,0,0,0,101218100,54656240,133405200,62937640,57422110,148633480,38494100,44134580,38210250,55217300,39540300,55597500,75494580,329213370,42364400,51061240,66493750,132820800,52924200,59023100,16983200,41066560,45647050,29667550,23652050,57386800,34399800,6056450,48103200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,03,0,0,0,118068500,65580900,154619930,79921300,66207880,167976690,43617550,49576170,44216930,76600800,49016450,73842900,87169350,346690220,48583070,62980100,79860690,141256140,63266700,70449800,19211250,46468890,51322950,35760150,29442640,68388480,46377250,6628200,93259450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,04,0,0,0,123094680,62818480,166738180,77779540,62494290,176291210,42782820,49756500,43738880,73206400,47098910,72290400,85152220,338033660,50992790,64281100,78947230,150584860,62786750,73909230,19733940,46413500,50814000,35908780,28279090,66311930,47742930,6988300,88433210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,05,0,0,0,120772950,63658020,151098570,75306570,63504940,171546450,43919830,49910020,42711010,72039870,48211140,72505910,85861300,338372840,51594300,62839350,78696700,146440270,63805810,71828260,19736200,45759270,52376560,36464250,28413420,67533430,50049270,6698600,87240090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,06,0,0,0,107822700,56668400,134990120,70618500,57978010,147516360,39321900,44964750,39259320,62681550,41721300,64080350,76623700,289191900,44707920,55618880,71975230,127131610,56178000,61560650,17923650,42510880,45691100,32673600,26366040,62598370,39698850,5841750,65875620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,07,0,0,0,109172320,57198200,134222740,68777030,58295340,149489150,41698750,45353880,39603020,57970800,38362200,59924330,79767400,331476870,44439200,52015420,69550760,136384420,54382450,61012740,18028250,42526420,45942050,33029600,26158000,61592410,34829010,6024200,49326520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,08,0,0,0,108561600,55216700,131943650,64454960,55961810,153651300,37987800,45748300,37508690,60445760,39087400,57938100,77520920,311669500,46529300,50575200,66569990,139851160,52930700,59896850,17307200,40135300,45218350,32902650,23603400,61425450,34391400,5892950,53411150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,09,0,0,0,114479610,56875100,136212310,70773670,58283480,152332620,40352600,45045450,40483010,64319930,42960130,64635620,78172440,312970490,44846830,54730690,72745580,132625100,56530790,62282400,18406780,41262210,46915810,34095830,25841610,62038750,42384450,6482100,80989890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,10,0,0,0,120066240,60594950,142122380,71662800,60148130,161856680,41792100,47134460,42251270,67055300,40888840,65731760,79069260,328337150,46820500,53199400,74165950,137808980,59172750,66476100,18567600,43263390,48348700,35474300,25318800,64115820,41490760,6999500,80559390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,11,0,0,0,122565240,61232260,155988520,71977000,61883980,159610340,42042980,47381670,42777550,67371690,42963130,70218980,78937000,331523130,47192070,60232000,78258080,143009250,59751700,66405860,20618460,43360110,49320300,35741400,26083000,62986240,43374000,8272650,82827530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,12,0,0,0,129867090,62509300,158940300,73091420,65930360,170546220,43417100,50563450,45687150,64360200,45200330,68302840,80297500,398906310,50847300,58259900,76577470,157988450,60358250,66673500,20477500,45469810,50045200,37690100,25508490,65852550,40397700,9000850,70624600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
